重述神话系列套装7册【布克奖、直木奖、矛盾文学奖等全球_ (Z-Library),EPUB,link,code
C++ Primer 中文版（第 5 版） ( etc.) (Z-Library),PDF,link,code
CSS揭秘 (Lea Verou) (Z-Library),PDF,link,code
"Head First HTML and CSS, 2n_ (Z-Library)",PDF,link,code
MATLAB 数学建模方法与实践 (卓金武 王鸿钧 编著) (Z-Library),PDF,link,code
MySQL是怎样运行的(带目录),PDF,link,code
《代码整洁之道》（异步图书） (马丁(Robert C (Z-Library),EPUB,link,code
人月神话(40周年中文纪念版),PDF,link,code
微型计算机原理与接口技术 (周荷琴，冯焕清) (Z-Library),PDF,link,code
"数学建模算法与应用习题解答 第3版 (司守奎, 孙玺青) (Z-Library)",PDF,link,code
数学模型(第五版) (姜启源 谢金星 叶俊) (Z-Library),PDF,link,code
数据结构（C语言版）（第2版） (严蔚敏 李冬梅 吴伟民) (Z-Library),PDF,link,code
构建之法（第三版） 现代软件工程,PDF,link,code
"深入理解计算机系统 (Randal E. Bryant, David R. O’Hallaron) (Z-Library)",PDF,link,code
现代编译原理 C语言描述 (安佩尔) (Z-Library),PDF,link,code
编译原理 原理、技术与工具 ( etc.) (Z-Library),PDF,link,code
"计算机操作系统（慕课版） (汤小丹, 王红玲, 姜华,_ (Z-Library)",PDF,link,code
计算机系统概论 （原书第2版） (派特（Patt.Y.N.）) (Z-Library),PDF,link,code
计算机组成与系统结构(第3版） (袁春风、唐杰、杨若瑜_ (Z-Library),PDF,link,code
计算机组成原理第3版 (唐朔飞) (Z-Library),PDF,link,code
重构：改善既有代码的设计（第2版） (马丁·福勒(Ma (Z-Library),PDF,link,code
